Name,Level,IV_Attack,IV_Defense,IV_HP,CP
Orbeetle,LV9.5,0,0,7,520
Orbeetle,LV9.5,0,2,6,520
Orbeetle,LV9.5,0,3,5,520
Orbeetle,LV9.5,0,5,4,520
Orbeetle,LV9.5,0,6,3,520
Orbeetle,LV9.5,0,8,2,520
Orbeetle,LV9.5,0,10,1,520
Orbeetle,LV9.5,0,11,0,520
Orbeetle,LV9.5,1,0,5,520
Orbeetle,LV9.5,1,2,4,520
Orbeetle,LV9.5,1,3,3,520
Orbeetle,LV9.5,1,5,2,520
Orbeetle,LV9.5,1,6,1,520
Orbeetle,LV9.5,1,8,0,520
Orbeetle,LV9,1,14,15,520
Orbeetle,LV9,1,15,14,520
Orbeetle,LV9.5,2,0,3,520
Orbeetle,LV9.5,2,2,2,520
Orbeetle,LV9.5,2,3,1,520
Orbeetle,LV9.5,2,5,0,520
Orbeetle,LV9,2,10,15,520
Orbeetle,LV9,2,12,14,520
Orbeetle,LV9,2,13,13,520
Orbeetle,LV9,2,15,12,520
Orbeetle,LV9.5,3,0,1,520
Orbeetle,LV9.5,3,2,0,520
Orbeetle,LV9,3,7,15,520
Orbeetle,LV9,3,9,14,520
Orbeetle,LV9,3,10,13,520
Orbeetle,LV9,3,12,12,520
Orbeetle,LV9,3,13,11,520
Orbeetle,LV9,3,15,10,520
Orbeetle,LV9,4,4,15,520
Orbeetle,LV9,4,6,14,520
Orbeetle,LV9,4,7,13,520
Orbeetle,LV9,4,9,12,520
Orbeetle,LV9,4,10,11,520
Orbeetle,LV9,4,12,10,520
Orbeetle,LV9,4,13,9,520
Orbeetle,LV9,4,15,8,520
Orbeetle,LV9,5,1,15,520
Orbeetle,LV9,5,3,14,520
Orbeetle,LV9,5,4,13,520
Orbeetle,LV9,5,6,12,520
Orbeetle,LV9,5,7,11,520
Orbeetle,LV9,5,10,9,520
Orbeetle,LV9,5,12,8,520
Orbeetle,LV9,5,13,7,520
Orbeetle,LV9,5,15,6,520
Orbeetle,LV9,6,0,14,520
Orbeetle,LV9,6,1,13,520
Orbeetle,LV9,6,4,11,520
Orbeetle,LV9,6,5,10,520
Orbeetle,LV9,6,7,9,520
Orbeetle,LV9,6,8,8,520
Orbeetle,LV9,6,10,7,520
Orbeetle,LV9,6,12,6,520
Orbeetle,LV9,6,13,5,520
Orbeetle,LV9,6,15,4,520
Orbeetle,LV9,7,0,12,520
Orbeetle,LV9,7,1,11,520
Orbeetle,LV9,7,2,10,520
Orbeetle,LV9,7,4,9,520
Orbeetle,LV9,7,5,8,520
Orbeetle,LV9,7,7,7,520
Orbeetle,LV9,7,8,6,520
Orbeetle,LV9,7,10,5,520
Orbeetle,LV9,7,12,4,520
Orbeetle,LV9,7,13,3,520
Orbeetle,LV9,7,15,2,520
Orbeetle,LV9,8,1,9,520
Orbeetle,LV9,8,2,8,520
Orbeetle,LV9,8,4,7,520
Orbeetle,LV9,8,5,6,520
Orbeetle,LV9,8,7,5,520
Orbeetle,LV9,8,9,4,520
Orbeetle,LV9,8,10,3,520
Orbeetle,LV9,8,12,2,520
Orbeetle,LV9,8,13,1,520
Orbeetle,LV9,8,15,0,520
Orbeetle,LV9,9,1,7,520
Orbeetle,LV9,9,4,5,520
Orbeetle,LV9,9,6,4,520
Orbeetle,LV9,9,7,3,520
Orbeetle,LV9,9,9,2,520
Orbeetle,LV9,9,10,1,520
Orbeetle,LV9,9,12,0,520
Orbeetle,LV9,10,0,6,520
Orbeetle,LV9,10,1,5,520
Orbeetle,LV9,10,3,4,520
Orbeetle,LV9,10,4,3,520
Orbeetle,LV9,10,6,2,520
Orbeetle,LV9,10,7,1,520
Orbeetle,LV9,10,9,0,520
Orbeetle,LV9,11,0,4,520
Orbeetle,LV9,11,1,3,520
Orbeetle,LV9,11,3,2,520
Orbeetle,LV9,11,4,1,520
Orbeetle,LV9,11,6,0,520
Orbeetle,LV8.5,11,13,15,520
Orbeetle,LV8.5,11,15,14,520
Orbeetle,LV9,12,0,2,520
Orbeetle,LV9,12,1,1,520
Orbeetle,LV9,12,3,0,520
Orbeetle,LV8.5,12,10,15,520
Orbeetle,LV8.5,12,12,14,520
Orbeetle,LV8.5,12,13,13,520
Orbeetle,LV8.5,12,15,12,520
Orbeetle,LV9,13,0,0,520
Orbeetle,LV8.5,13,7,15,520
Orbeetle,LV8.5,13,9,14,520
Orbeetle,LV8.5,13,10,13,520
Orbeetle,LV8.5,13,12,12,520
Orbeetle,LV8.5,13,13,11,520
Orbeetle,LV8.5,13,15,10,520
Orbeetle,LV8.5,14,4,15,520
Orbeetle,LV8.5,14,6,14,520
Orbeetle,LV8.5,14,7,13,520
Orbeetle,LV8.5,14,9,12,520
Orbeetle,LV8.5,14,10,11,520
Orbeetle,LV8.5,14,12,10,520
Orbeetle,LV8.5,14,13,9,520
Orbeetle,LV8.5,14,15,8,520
Orbeetle,LV8.5,15,3,14,520
Orbeetle,LV8.5,15,4,13,520
Orbeetle,LV8.5,15,6,12,520
Orbeetle,LV8.5,15,7,11,520
Orbeetle,LV8.5,15,9,10,520
Orbeetle,LV8.5,15,10,9,520
Orbeetle,LV8.5,15,12,8,520
Orbeetle,LV8.5,15,13,7,520
Orbeetle,LV8.5,15,15,6,520
